,cleansed_text,created_at,class,is_unuseful,pred
383,"This has been updated in HMC & CTE on the expense side.



Adri Richards

Principal Support Engineer, Product Support - Concur, Customer Solution Support and Innovation

SAP Concur 601 108th Avenue NE, Suite 100, Bellevue, WA 98004

T +1 (855) 895-4815, E






SAP Concur will be closed: 



Out of office
July 5 & July 6",2021-06-10 16:49:15.000000 UTC,chat,False,False
610,"Hey Jutisha, next week all the amount owing will be deducted from your check as per the advance terms. We previously had $100 as a favour but this cannot be accommodated anymore",2018-10-13 23:32:58.000000 UTC,chat,False,False
589,"Hello Teresa,

Thank you for taking my call this afternoon. I appreciate your time and it was a pleasure speaking with you. As we discussed with column AG in the extract file, where the leading zeros were missing, this setting is an Excel limitation and cannot be forced when configuring custom fields in SAP Concur. By default Microsoft Excel won't display or store leading zeros. Sometimes, these entries are true numeric values and you will need to evaluate them in mathematical processes.

When this is the case, you can force Excel to display placeholder 0 digits by applying a custom format as follows:

Select the cell or range in question.


Right-click the selected cell or range and choose Format Cells from the context menu.


Click the Number tab.


Choose Custom from the Category list.


In the Type field, enter the number of 0's necessary to accommodate the largest value. For instance, if the largest value contains four digits, enter four 0's.


Click OK and Excel displays leading values.




I am sending this case up to our Expense Support Team for further review of the incorrect Employee Id on row 27 and the missing department code on row 91 in the extract file. An analyst will follow up with you shortly. Thank you for your patience.

If you have further questions or concerns, you can either reply back to this email or update this case in the Concur Support Portal.  I will receive your updates immediately via email.

Regards,

Jaclyn Schultz | Sr. Coach, Service Delivery
Concur_CoachingBench@sap.com | Time Zone: Eastern | 844 849 0886

You may receive an email requesting feedback on your experience with this case, and I would greatly appreciate your response. The survey contains 4 questions and takes only 20 seconds to complete.

We invite you to listen to the Monthly Release Notes Recording offered to Authorized Support Contacts with Service Assistant.
Stay in the Know and One Step Ahead by learning what functionality has been added, upcoming changes, retiring processes and future enhancements.

View Recorded Sessions: https://www.concurtraining.com/customers/tech_pubs/SvcAdminStandard/SvcAdminStandard.htm",2020-08-21 21:24:26.000000 UTC,chat,False,False
935,"Dear all,



I am currently out of the office and won't be back before Monday March 30th 2015. Please contact my substitute Karine Leopoldes or Caroline Kunz (0041 58 272 7319)



Best Regards

Assunta Lupinacci",2015-03-27 15:54:05.000000 UTC,chat,True,True
11,"Thank you for your email. 
Am having trouble with my new loan offer. Please, help me reset it. 
Best regards.",2022-01-24 11:04:20.000000 UTC,ticket,False,False
221,"Hey, I'm sure you're busy but I just wanted to see if you were still with me? If so, just let me know if I can help.",2022-02-09 00:31:43.000000 UTC,chat,True,False
682,"Hi Ardee



The user had tried your steps and s till the same issue after the steps. (Dates are still locked)



Can you liaise with Tammy directly as this related to her company-7119 Ricoh Taiwan Co., Ltd.



She can reply faster to you.



Thank you.

Vivian",2021-12-06 06:15:36.000000 UTC,chat,False,False
696,"Hi Team,

We have connected with the team and would like to put in place the below workflow process. Can you kindly confirm this is doable? If so, please let me know the next steps.

Employee submits expense > Manager approves > Adrian reviews/reconciles > Eric final approves > available in batch for accounting

Thank you,
Amanda",2020-03-06 18:07:21.000000 UTC,chat,False,False
150,Oh cool have a great time!,2018-08-08 15:21:58.000000 UTC,chat,False,False
316,"You're so very welcome Carrie, it's my pleasure! Take as much time as you need. Once you're ready just message me to let me know and I'll get it back off to print for you ��. Have a great night, I look forward to speaking with you soon. And if you get stuck anywhere or have any issues let me know!",2022-06-25 15:11:04.367000 UTC,ticket,False,False
300,You're definitely not going crazy! It's been a hectic day with this issue because it's also affected a lot of user management functionality. I'm just glad I'm not on the team that is working to fix this bug today ��,2022-06-22 21:02:46.000000 UTC,chat,False,False
717,"When I try to tap the “open” icon on the screen, nothing happens.  All of the other functions seem to work.",2019-09-04 15:34:06.000000 UTC,chat,False,False
608,Not anymore Jutisha. We had an agreement at $100 a week until your original was paid off. I stated we are not a loan and that was a unique case. You have now taken much more funds today. These funds will automatically be debited  from your next payday,2018-10-12 00:02:41.000000 UTC,chat,False,False
765,"Hey Melanie! 


Thanks for reaching out about ordering with different emails! I am happy to help with managing your account :) 


If you let me know which email address is the one that you want everything to be under I can go ahead and do that for you! 


As far as the pricing of the items goes, the sales that we just ran for Black Friday and Cyber Monday applied to both subscriptions and one time orders! The current prices on the website are automatically set to subscription prices, but if you want to place a one time purchase all you have to do is move the toggle over, like in the picture I attached to this message! 


Let me know if you have any more questions, I am happy to answer them :) 


Bekka
Pura Customer Support",2021-11-30 21:08:27.864000 UTC,chat,False,False
713,I do not use the away mode,2020-12-16 01:28:33.000000 UTC,chat,False,False
775,changed the scent profile description,2021-11-27 14:04:27.000000 UTC,chat,False,False
646,Whatever works to ensure our issue is fully resolved. I am willing to do what I can but I definitely do not want to have to go to another person and explain if this doesn’t fix the issue.,2022-04-13 16:17:38.000000 UTC,chat,False,False
176,You bet. Please let me know if there's more I can provide. ��,2021-05-10 20:57:14.000000 UTC,chat,True,False
373,do i need to delete the beneficial owner and redo the info,2021-06-15 15:57:37.000000 UTC,chat,False,False
235,"Overdue Payment



Overdue Payment

Hi Pamela Walker,

Payment on your Divvy Visa balance of $113.00 is currently ten days past due.

Continued delinquency may result in freezing your account.

Payment was due by April 15, 2022 .

Please log into Divvy to view your credit balance and make a payment.

Thank you.



Spend Smarter

™

13707 S 200 W STE 100 • DRAPER, UT 84020",2022-04-25 13:22:52.000000 UTC,chat,False,False
322,"<!DOCTYPE HTML PUBLIC ""-//W3C//DTD HTML 4.0 Transitional//EN"">




</head>

    


Thank you for your email to the online support desk. Emails received Monday to Friday between 800am and 800pm eastern time will be answered within 6 hours. Please note that the online support desk is closed Saturday,

 Sunday and statutory holidays. </font></p>
Merci d'avoir envoyé votre courriel au service d'assistance en ligne. Nous répondrons dans un délai de 6 heures aux courriels reçus du lundi au vendredi, entre 8h00 du matin et 8h00 du soir. Veuillez

prendre note que le service d'assistance est fermé le samedi, dimanche et les jours fériés .



</span></div>










	This email and any attachment(s) may contain information which is confidential and/or privileged. If you are not the intended recipient please notify the sender immediately, delete it from your system and do not use or disclose its contents. Any confidentiality or privilege that attaches to this email is not waived or lost if you have received this email in error.  </p>


	HRG North America is the registered trade name of Hogg Robinson Canada Inc. and Hogg Robinson USA LLC. </p>









	Ce courriel ainsi que toute pi&egrave;ce jointe peut contenir de l'information confidentielle et/ou privil&eacute;gi&eacute;e. Si vous n'&ecirc;tes pas le destinataire pr&eacute;vu, veuillez en informer l’envoyeur imm&eacute;diatement et supprimez-le de votre syst&egrave;me sans utiliser ni divulguer son contenu. Tout &eacute;l&eacute;ment confidentiel ou privil&egrave;ge rattach&eacute;s &agrave; ce courriel ne sont ni c&eacute;d&eacute;s, ni perdus si vous avez re&ccedil;u ce courriel par erreur.  </p>


	HRG Am&eacute;rique du Nord est le nom commercial d&eacute;pos&eacute; de Hogg Robinson Canada Inc. et de Hogg Robinson USA LLC. </p>
    
</body>
</html>",2013-07-17 12:26:14.000000 UTC,chat,True,False
31,"Reward Points not inclulded
Hi,
I made a purchase on 11/3 and tried to redeemed 400 of my points. They were taken out of my points but the code did not work when I went to the payment section. Can they be added back to my reward points balance?
Thanks, 
Liz Davis (Tjaden) 
 
 category: Question about a Payment",2021-11-19 14:55:04.625000 UTC,chat,False,False
774,i feel that the scent did not fit the scent profile that was described,2021-11-27 14:04:27.000000 UTC,chat,False,False
410,"Sorry I was having some technical issues.  I need to know if a user can goods-receipt another users PO.  We have 2 teams working 4-day-on, 4-day-off shifts and its causing goods receipt problems.



Many thanks

Jennifer",2020-11-02 12:15:14.000000 UTC,chat,False,False
576,"Hi Jasna, I just wanted to let you know that your account is now active! It was a pleasure to assist you today! Thanks for chatting into Divvy! I hope you have a great day!",2022-03-10 01:24:07.000000 UTC,chat,False,False
302,I'm so glad to hear there is a bug and I'm not going crazy over here. Lol.,2022-06-22 21:01:45.000000 UTC,chat,False,False
406,"I'd love to tell you more about Divvy! Divvy is a credit card for business, but it’s more than a card. It’s also a financial platform and mobile app where you can create budgets, set spending limits, pay bills from your bank account, and see every transaction in real time.",2022-02-05 20:59:00.000000 UTC,chat,False,False
899,"Yes, I know that.  The problem is that I have a purifier right now with no scents in it.  I’ll just figure out how do it myself.  
Thanks.",2022-02-22 16:24:41.067000 UTC,chat,False,False
119,Help Tori understand how they’re doing:,2020-05-01 14:56:37.000000 UTC,chat,True,True
386,"Hi Weng,

My case is now resolved.

Thanks,
Jamie",2019-09-25 08:04:37.000000 UTC,chat,True,False
98,"Dear Madame and Sirs,

I'm not in the office today I will be back on the 2nd of November. Your email will not be forwarded.

Mit freundlichen Grüßen/ Best regards
Daniele Mini
Senior Service Manager Human Capital Management
Group IT

Vorwerk Services GmbH
Am Clef 60 - 62 / D-42275 Wuppertal / Germany
Tel.: +49 202 564 6143
Mobile:+49 173 406 7844

e-Mail: Daniele.Mini@vorwerk.de




Gesellschaft mit beschränkter Haftung, Wuppertal

Amtsgericht Wuppertal HR B 21 700

Geschäftsführer: Alessandro Axel Scarponi, Dr. Oliver Marschollek",2021-11-01 13:06:53.000000 UTC,chat,True,False
438,"Hi Latoya,

I have removed both those debit cards from your account.",2019-08-11 17:02:47.000000 UTC,chat,False,False
622,ok thats fine as long as we are sticking to the payment arrangement of 100 a week correct til everything is paid off correct,2018-10-12 00:01:16.000000 UTC,chat,False,False
477,"+ NEW EMS Sleeping Bags

‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌

| Can't see images? 

Address

Eastern Mountain Sports
160 Corporate Court Meriden, CT, 06450

Customer Service

203 379 2233 | 



| | | |

© 2022 EASTERN MOUNTAIN SPORTS, INC. ALL RIGHTS RESERVED.

This email is an advertisement.",2022-01-07 11:15:04.000000 UTC,chat,True,False
564,Below is an error that our Regional Administrator’s secretary is encountering when attempting to cancel an upcoming trip. Any idea why this is occurring? We are trying to make sure the trip and reservation gets cancelled in a timely manner before the departure date.  She has left a couple messages with the help desk and has still not heard back.,2014-02-20 15:11:06.000000 UTC,chat,False,False
800,"I think I have it figured out. thanks for the help!

Kalvin Cusick

(801) 420-2045

Sales & Development

Victory Rock Texas, LLC",2021-04-20 20:54:24.000000 UTC,chat,False,False
105,"Hi there! Chris here, happy to help. ��",2021-10-15 13:16:19.000000 UTC,chat,True,False
65,"Hi Jonathan,

Great talking with you. Here's how you get started with Divvy (15 minutes):

1. Webform : fill out the webform: (3 minutes)
2. Application : sign the digital application emailed from HelloSign (2 minutes)
3. CBO Form : sign the Certificate of Beneficial Ownership form emailed from HelloSign. – a government-mandated identity verification form separate from Divvy but required (5 minutes).
4. Financials : submit 2016 and 2017 P&Ls and Balance Sheets to (5 minutes)

If you do this within 24 hours , you are on track for the Divvy bonus.

We are excited to work with you!

Trent

BEGIN signature 

Trent Mortensen 
Account Executive 
801.652.2844 




END signature",2018-08-08 12:48:03.000000 UTC,chat,False,False
208,"Hi Marek



This note did help. My testing was successful. Many thanks for your help.



@Jennifer: Please check and confirm if everything works fine now.



Best Regards

Thorsten



Von: Zikmunda, Marek <marek.zikmunda@sap.com>
Gesendet: Montag, 12. November 2018 10:56
An: Bunte, Thorsten, ZKA <Thorsten.Bunte@bertelsmann.de>; SAP Concur Salesforce Support Updates <concur_Support-Updates@sap.com>; jejones@prh.com
Betreff: RE: Your Case 12701869 Has Been Updated (Subj: Solman Incident 54121/2018 / Detection of credit card data)



Hello Thorsten,



An OSS note : was released. When you have no SSL issues this one should solve the rest.



Regards,



Marek Zikmunda

GSES, Supervisor, SAP ICS & Webservices

Concur (Czech) s.r.o. Bucharova 2817/11,Stodulky, 158 00 Praha 5, Czech Republic

T +420 226 230-520, E",2018-11-12 10:25:18.000000 UTC,chat,False,False
671,"Delivery has failed to these recipients or groups:

susanhamilton366@gmail.com
The recipient's mailbox is full and can't accept messages now. Please try resending your message later, or contact the recipient directly.








Diagnostic information for administrators:

Generating server: DM6PR02MB6526.namprd02.prod.outlook.com

susanhamilton366@gmail.com
Remote Server returned '552-5.2.2 The email account that you tried to reach is over quota and inactive. 552-5.2.2 Please direct the recipient to 552 5.2.2 https://support.google.com/mail/?p=OverQuotaPerm rn17-20020a170906d93100b006f399e6dc34si1844271ejb.401 - gsmtp'

Original message headers:

Received: from SJ0PR02MB7183.namprd02.prod.outlook.com (2603:10b6:a03:292::13)
 by DM6PR02MB6526.namprd02.prod.outlook.com (2603:10b6:5:20e::14) with
 Microsoft SMTP Server (version=TLS1_2,
 cipher=TLSECDHERSAWITHAES256GCM_SHA384) id 15.20.5186.14; Mon, 25 Apr
 2022 13:24:23 +0000
Resent-From:
Received: from SJ0PR02MB7183.namprd02.prod.outlook.com ([::1]) by
 SJ0PR02MB7183.namprd02.prod.outlook.com ([fe80::e467:d1b4:3074:4a5%8]) with
 Microsoft SMTP Server id 15.20.5186.021; Mon, 25 Apr 2022 13:24:23 +0000
Authentication-Results: spf=pass (sender IP is 149.72.122.254)
 smtp.mailfrom=mailer.shopifyemail.com; dkim=pass (signature was verified)
 header.d=shopifyemail.com;dmarc=none action=none header.from=trypura.com;
Received-SPF: Pass (protection.outlook.com: domain of mailer.shopifyemail.com
 designates 149.72.122.254 as permitted sender)
 receiver=protection.outlook.com; client-ip=149.72.122.254;
 helo=o33.mailer.shopify.com;
X-IncomingTopHeaderMarker: OriginalChecksum:E7CBF009DAF66181A6A3F57F63A77311184AFF06A7CA460DE8EE67503E3AB912;UpperCasedChecksum:5E0CB8EEFCA725AB663583BE69BDB3624552DABF25427EC682909BD071831375;SizeAsReceived:3798;Count:14
DKIM-Signature: v=1; a=rsa-sha256; c=relaxed/relaxed; d=shopifyemail.com;
        h=content-type:from:mime-version:subject:to;
        s=s1; bh=EpFkP8qdz/qKrkCJXD6QSAlgSd5tXMw0M067jO3bsdY=;
        b=TtUik64upAmy25geMemwjgoAds+xpq/I3iLwkxyR6YSFlemFgDem+VOZKTu7O3ToAkYG
        So7T9uxGeX57n7Ie1aTk4XNM3dzu5p45yNarlpVle0LSDQRAillfI24ag6NTY+D/holl27
        jLsTwlhn88lE6zjl1FeaPrFb1l8nKcCT1CYQwqMdzqvAh7M3aL0YiJqlAdnBvceE2EnstX
        wVfcqKfIPyYlVSytnnchK3wFU8mqhlG+8sj5Ijwtlg3IcfOpvY2w3AMOhCzadT9GGA8ymZ
        RcpQ19E2juozpoxJOp0UWIvKhd9ph498DYApDJHk/rfcvED19O49kmApKI5gPOrA==
Content-Type: multipart/alternative; boundary=f9caa2ee9e014f89209f75df8d0dc6037ce034e07f6c1026aacaefff158f
Date: Mon, 25 Apr 2022 13:24:19 +0000 (UTC)",2022-04-25 13:24:31.152000 UTC,chat,True,True
187,"Hi Devon,




Thank you for contacting Pura Customer Care, my name is Sune and I will be helping you out today!




I read over the email you sent in and I am sorry to hear that you have been having issues with the connection of your device, I would be more than happy to look into this to see what the issue could be and what troubleshooting steps we need to take in order to resolve this.




So we can better help you out, could you answer the following questions?




1. Did the message show up during the setup process or after your diffuser had been running for a while? 




2. Were you making any changes in your app when this error message appeared? 




3. Are you able to change settings within your app, such as fragrance intensity, nightlight color, or starting/stopping your fragrance? 




4. Has anything changed with your WiFi recently? 




Thanks so much for your help! I'm looking forward to resolving this with you as soon as possible.",2022-06-08 15:44:26.364000 UTC,chat,False,False
94,"Hi Tina,  I just wanted to pop back in to make sure you received my last message to you and that it was helpful and thorough! Are there any questions I can answer for you? It is super important to me that you are well taken care of because your happiness is my #1 priority! Please let me know if there&rsquo;s anything else I can do to help you today!  Happy Chatbooking, Christine",2022-06-30 17:59:39.353000 UTC,ticket,True,False
925,"Ok, how do I get the I think it was 15% for a first time book",2021-12-28 10:52:12.289000 UTC,ticket,False,False
815,Sounds good! How can we help? Please include as much detail as you can!,2022-02-16 02:17:17.000000 UTC,chat,False,False
922,Okay if I make that change should the photos start to sync with Chatbooks?,2021-12-28 10:36:34.461000 UTC,ticket,False,False
364,We appreciate your input and patience. The next agent will help you as soon as they can!,2021-06-15 15:38:23.000000 UTC,chat,True,False
924,It said it was done but it still has 15 missing photos with black squares,2021-12-28 10:48:58.286000 UTC,ticket,False,False
789,Help Noelle understand how they’re doing:,2021-04-23 22:10:57.000000 UTC,chat,True,True
29,"Bonjour,



J’ai reçu plusieurs email puisque la date de transaction de mes factures ne sont pas les mêmes que les dates de réclamations demandé. Ceci est dû au fait que ma date d’embauche est le 25 septembre 2017 et que les formations de Deloitte ont été suivi durant l’été, donc avant ma date d’embauche. Quand j’ai essayé d’entrer les dates avant ma dates d’embauche le système Concur ne m’a pas l’laisser faire, donc j’ai mis la dates de ces remboursements coïncident avec ma date d’embauche.



N’hésitez pas à me rejoindre sur Skype pour toutes questions,





Pierre-Luc Lalancette Cossette
Auditeur Adjoint | Audit et Certification

Deloitte Sociétés privées
200 rue Montcalm bureau 405, Gatineau, Québec, J8Y 3B5, Canada
Ligne directe : (613) 786-7594 | Télécopieur : (613) 236-2195
plalancettecossette@deloitte.ca |







| | |


S.V.P. pensez à l’environnement avant d’imprimer ce courriel.



Confidentiality Warning:

This message and any attachments are intended only for the use of the intended recipient(s), are confidential, and may be privileged. If you are not the intended recipient, you are hereby notified that any review, retransmission, conversion to hard copy, copying, circulation or other use of this message and any attachments is strictly prohibited. If you are not the intended recipient, please notify the sender immediately by return e-mail, and delete this message and any attachments from your system. Thank You

If you do not wish to receive future commercial electronic messages from Deloitte, forward this email to unsubscribe@deloitte.ca

Avertissement de confidentialité:

Ce message, ainsi que toutes ses pièces jointes, est destiné exclusivement au(x) destinataire(s) prévu(s), est confidentiel et peut contenir des renseignements privilégiés. Si vous n’êtes pas le destinataire prévu de ce message, nous vous avisons par la présente que la modification, la retransmission, la conversion en format papier, la reproduction, la diffusion ou toute autre utilisation de ce message et de ses pièces jointes sont strictement interdites. Si vous n’êtes pas le destinataire prévu, veuillez en aviser immédiatement l’expéditeur en répondant à ce courriel et supprimez ce message et toutes ses pièces jointes de votre système. Merci.

Si vous ne voulez pas recevoir d’autres messages électroniques commerciaux de Deloitte à l’avenir, veuillez envoyer ce courriel à l’adresse unsubscribe@deloitte.ca",2018-02-01 13:41:55.000000 UTC,chat,False,False
